進出口別,日期,貨品號列,中文貨名,英文貨名,國家,美元(千元)
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,中國大陸,396
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,厄瓜多,185
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,巴布亞紐幾內亞,622
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,巴西,20506
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,巴拿馬,3892
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,日本,14
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,牙買加,395
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,尼加拉瓜,5953
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,尼泊爾,5
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,瓜地馬拉,10952
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,印尼,16156
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,印度,1123
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,多米尼克,2
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,多明尼加,1
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,衣索比亞,17225
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,宏都拉斯,2196
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,坦尚尼亞,440
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,東帝汶,469
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,肯亞,1923
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,玻利維亞,50
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,美國,22
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,剛果,8
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,剛果民主共和國,3
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,哥倫比亞,14132
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,哥斯大黎加,5046
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,泰國,116
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,烏干達,476
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,留尼旺,36
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,秘魯,394
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,馬拉威,571
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,越南,2588
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,義大利,8
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,聖赫勒拿及阿森松及特斯坦達庫尼亞,60
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,葉門,84
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,蒲隆地,237
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,寮國,2508
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,緬甸,70
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,墨西哥,133
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,澳大利亞,1
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,盧安達,732
進口,108年,090111,未抽除咖啡鹼者, Not decaffeinated,薩爾瓦多,1969
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,中國大陸,72
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,厄瓜多,100
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,巴布亞紐幾內亞,838
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,巴西,20287
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,巴拿馬,4384
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,牙買加,729
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,古巴,13
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,尼加拉瓜,8870
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,尼泊爾,8
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,瓜地馬拉,14949
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,印尼,16261
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,印度,2490
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,多米尼克,2
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,多明尼加,73
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,衣索比亞,23557
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,宏都拉斯,2170
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,坦尚尼亞,564
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,東帝汶,157
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,肯亞,2319
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,玻利維亞,166
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,美國,24
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,英國,18
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,剛果,6
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,剛果民主共和國,5
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,哥倫比亞,21136
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,哥斯大黎加,5200
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,泰國,86
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,烏干達,1057
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,留尼旺,8
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,秘魯,725
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,馬拉威,7
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,馬達加斯加,1
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,喀麥隆,1
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,越南,1861
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,義大利,7
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,聖赫勒拿及阿森松及特斯坦達庫尼亞,88
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,葉門,76
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,蒲隆地,11
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,寮國,1384
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,緬甸,101
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,墨西哥,139
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,盧安達,158
進口,109年,090111,未抽除咖啡鹼者, Not decaffeinated,薩爾瓦多,2282
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,中國大陸,91
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,厄瓜多,115
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,巴布亞紐幾內亞,997
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,巴西,24103
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,巴拿馬,4441
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,日本,13
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,牙買加,720
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,古巴,84
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,尼加拉瓜,9562
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,尼泊爾,18
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,瓜地馬拉,15654
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,印尼,14071
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,印度,1220
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,衣索比亞,24407
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,宏都拉斯,3001
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,坦尚尼亞,307
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,尚比亞,0
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,東帝汶,190
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,肯亞,2206
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,玻利維亞,113
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,美國,163
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,英國,53
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,剛果民主共和國,11
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,哥倫比亞,23066
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,哥斯大黎加,5019
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,泰國,103
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,烏干達,1523
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,留尼旺,7
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,秘魯,432
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,馬來西亞,3
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,馬拉威,470
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,越南,1709
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,義大利,7
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,葉門,90
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,蒲隆地,126
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,寮國,2233
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,緬甸,63
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,墨西哥,80
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,盧安達,358
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,薩爾瓦多,2416
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,中國大陸,30
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,厄瓜多,250
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,巴布亞紐幾內亞,1092
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,巴西,44758
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,巴拿馬,3945
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,牙買加,574
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,加拿大,5
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,古巴,37
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,尼加拉瓜,6053
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,尼泊爾,21
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,瓜地馬拉,23126
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,印尼,17069
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,印度,1483
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,多米尼克,1
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,多明尼加,139
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,衣索比亞,40568
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,宏都拉斯,3305
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,坦尚尼亞,957
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,尚比亞,11
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,東帝汶,205
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,肯亞,3290
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,玻利維亞,298
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,美國,403
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,英國,12
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,剛果民主共和國,14
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,哥倫比亞,32972
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,哥斯大黎加,7059
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,泰國,12
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,海地,1
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,烏干達,680
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,秘魯,1499
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,馬來西亞,4
