進出口別,日期,貨品號列,中文貨名,英文貨名,國家,美元(千元)
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,土耳其,1
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,中國大陸,368
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,中華民國,1
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,丹麥,7
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,厄瓜多,3
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,巴布亞紐幾內亞,1
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,巴西,286
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,日本,12245
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,比利時,19
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,牙買加,16
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,加拿大,69
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,尼加拉瓜,1
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,瓜地馬拉,35
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,印尼,137
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,印度,3
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,衣索比亞,17
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,西班牙,97
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,宏都拉斯,7
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,希臘,0
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,坦尚尼亞,7
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,波蘭,18
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,法國,288
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,肯亞,2
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,南韓,24
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,柬埔寨,1
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,玻利維亞,0
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,美國,31833
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,英國,482
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,香港,26
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,哥倫比亞,367
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,哥斯大黎加,12
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,泰國,38
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,烏干達,3
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,秘魯,119
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,紐西蘭,23
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,馬來西亞,9396
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,馬拉威,4
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,荷蘭,430
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,菲律賓,0
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,越南,145
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,奧地利,175
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,新加坡,320
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,瑞士,3096
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,瑞典,707
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,義大利,5826
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,葡萄牙,94
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,蒲隆地,0
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,寮國,4
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,德國,631
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,墨西哥,10
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,澳大利亞,264
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,澳門,6
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,盧安達,7
進口,108年,090121,未抽除咖啡鹼者, Not decaffeinated,薩爾瓦多,3
進口,109年,090121,未抽除咖啡鹼者, Not decaffeinated,土耳其,2
進口,109年,090121,未抽除咖啡鹼者, Not decaffeinated,中國大陸,255
進口,109年,090121,未抽除咖啡鹼者, Not decaffeinated,丹麥,6
進口,109年,090121,未抽除咖啡鹼者, Not decaffeinated,厄瓜多,1
進口,109年,090121,未抽除咖啡鹼者, Not decaffeinated,巴布亞紐幾內亞,9
