country,specialty,total_kUSD,rank
巴西,精品豆,322914,1
衣索比亞,精品豆,248563,2
美國,商業豆,222539,3
哥倫比亞,精品豆,206275,4
瓜地馬拉,精品豆,135546,5
印尼,精品豆,122813,6
馬來西亞,商業豆,87734,7
日本,商業豆,67289,8
尼加拉瓜,精品豆,65238,9
瑞士,商業豆,50568,10
義大利,商業豆,43841,11
哥斯大黎加,精品豆,37194,12
越南,精品豆,33079,13
巴拿馬,精品豆,31095,14
肯亞,精品豆,16435,15
宏都拉斯,精品豆,15968,16
印度,精品豆,12219,17
寮國,精品豆,11064,18
薩爾瓦多,精品豆,9768,19
巴布亞紐幾內亞,精品豆,9659,20
秘魯,精品豆,8381,21
烏干達,精品豆,6311,22
西班牙,商業豆,5418,23
瑞典,商業豆,5068,24
英國,商業豆,4935,25
牙買加,精品豆,4771,26
坦尚尼亞,精品豆,4585,27
德國,商業豆,4170,28
新加坡,商業豆,3890,29
荷蘭,商業豆,3356,30
澳大利亞,商業豆,3316,31
盧安達,精品豆,3045,32
馬拉威,精品豆,2781,33
墨西哥,精品豆,2780,34
中國大陸,商業豆,2607,35
東帝汶,精品豆,2254,36
葡萄牙,商業豆,1900,37
波蘭,商業豆,1726,38
法國,商業豆,1685,39
厄瓜多,精品豆,1381,40
玻利維亞,精品豆,1305,41
泰國,精品豆,1242,42
奧地利,商業豆,905,43
烏拉圭,商業豆,689,44
緬甸,精品豆,610,45
加拿大,商業豆,591,46
比利時,商業豆,554,47
葉門,精品豆,497,48
蒲隆地,精品豆,453,49
南韓,商業豆,442,50
多明尼加,精品豆,385,51
聖赫勒拿及阿森松及特斯坦達庫尼亞,商業豆,269,52
喀麥隆,精品豆,212,53
古巴,精品豆,150,54
馬達加斯加,精品豆,123,55
剛果民主共和國,精品豆,109,56
紐西蘭,商業豆,103,57
挪威,商業豆,98,58
尼泊爾,精品豆,96,59
香港,商業豆,91,60
丹麥,商業豆,57,61
留尼旺,精品豆,54,62
南非,商業豆,40,63
剛果,精品豆,16,64
土耳其,商業豆,12,65
俄羅斯,商業豆,12,66
羅馬尼亞,商業豆,11,67
尚比亞,精品豆,11,68
希臘,商業豆,7,69
澳門,商業豆,6,70
多米尼克,精品豆,6,71
中華民國,商業豆,5,72
柬埔寨,商業豆,3,73
芬蘭,商業豆,2,74
以色列,商業豆,1,75
海地,精品豆,1,76
菲律賓,商業豆,0,77
阿拉伯聯合大公國,商業豆,0,78
