shop_name,address,district,lat,lng,rating,review_count,brand_type,dist_to_mrt,nearest_mrt,mrt_proximity
SECOND FLOOR CAFE Renai,"No. 108, Section 2, Ren'ai Rd, Zhongzheng District, Taipei City, Taiwan 100",中正區,25.0379173,121.5324211,4.4,8288,獨立,326,忠孝新生站出口6,300-500m
抹More,"No. 221號, Ningbo W St, Zhongzheng District, Taipei City, Taiwan 100",中正區,25.0256536,121.5103729,4.5,806,獨立,1070,小南門站出口4,500m以上
翌日咖啡店,"No. 176號, Chaozhou St, Da’an District, Taipei City, Taiwan 106",中正區,25.0283112,121.529752,4.6,846,獨立,585,東門站出口5,500m以上
Sugar man cafe,"No. 87-1, Section 1, Heping E Rd, Da’an District, Taipei City, Taiwan 106",中正區,25.02717,121.525663,3.7,1272,獨立,260,古亭站出口3,300m內
STARBUCKS Hotel Resonance Taipei Shop,"No. 7-1號, Linsen S Rd, Zhongzheng District, Taipei City, Taiwan 100024",中正區,25.0437003,121.5239036,4.4,1483,連鎖,56,善導寺站出口4,300m內
Coppii Lumii living coffee 冉冉生活(東門),"No. 196號, Section 2, Xinyi Rd, Da’an District, Taipei City, Taiwan 106",中正區,25.033417,121.5300931,3.8,486,獨立,58,東門站出口6,300m內
STARBUCKS Guting Shop,"No. 109號, Section 2, Roosevelt Rd, Da’an District, Taipei City, Taiwan 106",中正區,25.0244629,121.5246496,4.1,343,連鎖,174,古亭站出口2,300m內
petit doux cafe,"No. 7之3號, Lane 198, Section 2, Xinyi Rd, Da’an District, Taipei City, Taiwan 106",中正區,25.0326374,121.5306298,4.2,2943,獨立,153,東門站出口5,300m內
羊毛與花 ‧ 永康 youmoutoohana Coffee,"No. 12號, Lane 37, Yongkang St, Da’an District, Taipei City, Taiwan 106",中正區,25.030696,121.529969,4.4,1525,獨立,322,東門站出口5,300-500m
The Singularity Co Working Space,"No. 32號, Nanyang St, Zhongzheng District, Taipei City, Taiwan 10047",中正區,25.0442539,121.5160275,4.9,2894,獨立,156,台大醫院站出口4,300m內
Sounds Good Cafe,"No. 1-3號, Lane 30, Section 2, Xinsheng S Rd, Da’an District, Taipei City, Taiwan 106",中正區,25.0317976,121.532664,4.7,577,獨立,255,大安森林公園站出口2,300m內
STARBUCKS Chongqing Shop,"No. 104, Section 1, Chongqing S Rd, Zhongzheng District, Taipei City, Taiwan 100",中正區,25.0424628,121.5130744,4.2,1910,連鎖,318,台大醫院站出口1,300-500m
Sukiya Taipei Station Restaurant,"No. 12號, Nanyang St, Zhongzheng District, Taipei City, Taiwan 100",中正區,25.0450547,121.5160153,3.9,4531,獨立,152,台北車站M6,300m內
客美多咖啡 Komeda‘s Coffee - 華山杭南店,"100, Taiwan, Taipei City, Zhongzheng District, 杭州南路一段23-1號",中正區,25.0422882,121.5264873,4.5,914,獨立,276,善導寺站出口5,300m內
ALL DAY ROASTING COMPANY 師大店,"No. 177號, Shida Rd, Zhongzheng District, Taipei City, Taiwan 100",中正區,25.02067,121.526735,4.4,482,獨立,69,台電大樓站出口4,300m內
YABOO Cafe,"No. 26, Lane 41, Yongkang St, Da’an District, Taipei City, Taiwan 106",中正區,25.0304219,121.5306096,4.5,1652,獨立,367,東門站出口5,300-500m
Perk & Cafe,"100, Taiwan, Taipei City, Zhongzheng District, Huaining St, 76號1樓",中正區,25.0432024,121.5139509,4.4,1292,獨立,239,台大醫院站出口4,300m內
Sukiya Guting Restaurant,"No. 50號, Section 2, Roosevelt Rd, Zhongzheng District, Taipei City, Taiwan 100",中正區,25.0278103,121.5215889,4.0,4830,獨立,15,古亭站出口7,300m內
Starbucks (Nanhai),"No. 20, Nanhai Rd, Zhongzheng District, Taipei City, Taiwan 100",中正區,25.0323876,121.5168813,4.1,1584,連鎖,129,中正紀念堂站出口1,300m內
Cafe Macho,"No. 10號, Jinjiang St, Zhongzheng District, Taipei City, Taiwan 10085",中正區,25.026052,121.521129,4.3,1173,獨立,136,古亭站出口8,300m內
bog tea house buubu,"103, Taiwan, Taipei City, Datong District, Lane 49, Chifeng St, 2號2樓",大同區,25.0555612,121.5196941,4.4,1375,獨立,234,雙連站出口1,300m內
waku waku pasta Chifeng,"No. 4號, Lane 8, Chifeng St, Datong District, Taipei City, Taiwan 103",大同區,25.0538231,121.5191253,4.1,1922,獨立,90,中山站出口5,300m內
STARBUCKS RESERVE Bao’an Shop,"No. 11號, Bao'an St, Datong District, Taipei City, Taiwan 103",大同區,25.05933,121.5132217,4.4,4331,連鎖,430,大橋頭站出口2,300-500m
Sweet & Sour Kitchen,"No. 112號, Section 1, Chongqing N Rd, Datong District, Taipei City, Taiwan 103",大同區,25.053125200000004,121.5139902,4.3,345,獨立,506,中山站出口6,500m以上
SOMA特調飲品 中山概念店 Tea & Mocktail,"No. 23號, Lane 20, Section 2, Zhongshan N Rd, Zhongshan District, Taipei City, Taiwan 10491",大同區,25.0536512,121.5208218,3.5,1208,獨立,102,中山站出口4,300m內
Melange Café,"No. 23號, Lane 16, Section 2, Zhongshan N Rd, Zhongshan District, Taipei City, Taiwan 10491",大同區,25.0532033,121.5208739,4.2,5388,獨立,69,中山站出口4,300m內
STARBUCKS Nanjing West Shop,"No. 36號, Nanjing W Rd, Datong District, Taipei City, Taiwan 103",大同區,25.0526864,121.5195903,4.0,1105,連鎖,47,中山站出口5,300m內
Supranormal Bakery Cafe 赤峰,"No. 27號, Lane 71, Chifeng St, Datong District, Taipei City, Taiwan 103",大同區,25.0566599,121.5203386,4.4,672,獨立,97,雙連站出口1,300m內
STARBUCKS Kulun Chengde Shop,"No. 51號, Kulun St, Datong District, Taipei City, Taiwan 103",大同區,25.0720983,121.5189997,4.2,2190,連鎖,117,圓山站出口2,300m內
