item_a,item_b,support_pct
單品咖啡,薑味司康,22.1
單品咖啡,巧克力可頌,19.7
單品咖啡,蔓越莓司康,19.6
單品咖啡,榛果脆餅,19.0
單品咖啡,鹹味司康,18.9
單品咖啡,杏仁可頌,18.8
單品咖啡,原味可頌,18.8
單品咖啡,奶油司康,18.5
單品咖啡,薑味脆餅,18.3
單品咖啡,巧克力脆餅,18.2
單品咖啡,燕麥司康,17.7
義式濃縮,薑味司康,15.9
有機可可,薑味司康,13.6
拿鐵,薑味司康,13.4
卡布奇諾,薑味司康,13.2
熱巧克力,薑味司康,13.0
卡布奇諾,巧克力可頌,12.4
拿鐵,原味可頌,12.3
有機可可,奶油司康,12.2
有機可可,原味可頌,12.2
拿鐵,杏仁可頌,12.1
拿鐵,蔓越莓司康,12.1
義式濃縮,巧克力可頌,12.1
拿鐵,巧克力可頌,12.0
卡布奇諾,鹹味司康,12.0
有機可可,巧克力可頌,12.0
有機可可,榛果脆餅,12.0
有機可可,蔓越莓司康,12.0
拿鐵,榛果脆餅,12.0
卡布奇諾,原味可頌,11.9
拿鐵,奶油司康,11.9
熱巧克力,蔓越莓司康,11.9
拿鐵,薑味脆餅,11.8
熱巧克力,巧克力可頌,11.7
拿鐵,巧克力脆餅,11.7
卡布奇諾,杏仁可頌,11.7
義式濃縮,榛果脆餅,11.7
義式濃縮,蔓越莓司康,11.7
卡布奇諾,蔓越莓司康,11.7
卡布奇諾,奶油司康,11.6
熱巧克力,榛果脆餅,11.5
有機可可,鹹味司康,11.5
有機可可,杏仁可頌,11.4
義式濃縮,杏仁可頌,11.4
熱巧克力,奶油司康,11.4
義式濃縮,原味可頌,11.4
義式濃縮,奶油司康,11.4
熱巧克力,巧克力脆餅,11.4
熱巧克力,鹹味司康,11.4
卡布奇諾,薑味脆餅,11.3
有機可可,巧克力脆餅,11.3
義式濃縮,巧克力脆餅,11.3
拿鐵,鹹味司康,11.2
熱巧克力,薑味脆餅,11.2
拿鐵,燕麥司康,11.1
卡布奇諾,燕麥司康,11.1
熱巧克力,原味可頌,11.1
有機可可,燕麥司康,11.1
義式濃縮,鹹味司康,11.0
卡布奇諾,巧克力脆餅,10.9
熱巧克力,杏仁可頌,10.8
有機可可,薑味脆餅,10.8
義式濃縮,薑味脆餅,10.7
熱巧克力,燕麥司康,10.6
義式濃縮,燕麥司康,10.5
卡布奇諾,榛果脆餅,10.5
