campaign,month_label,base_users,retained_users,retention_pct
雙11買一送一,M0,280,280,100.0
雙11買一送一,M1,280,190,67.9
雙11買一送一,M2,280,118,42.1
雙11買一送一,M3,280,87,31.1
雙11買一送一,M4,280,70,25.0
雙11買一送一,M5,280,62,22.1
買二送一活動,M0,240,240,100.0
買二送一活動,M1,240,170,70.8
買二送一活動,M2,240,115,47.9
買二送一活動,M3,240,89,37.1
買二送一活動,M4,240,68,28.5
買二送一活動,M5,240,51,21.3
會員日優惠,M0,195,195,100.0
會員日優惠,M1,195,127,65.1
會員日優惠,M2,195,76,39.0
會員日優惠,M3,195,55,28.4
會員日優惠,M4,195,37,19.2
會員日優惠,M5,195,27,14.1
新品上市嘗鮮,M0,160,160,100.0
新品上市嘗鮮,M1,160,93,58.1
新品上市嘗鮮,M2,160,55,34.5
新品上市嘗鮮,M3,160,36,22.3
新品上市嘗鮮,M4,160,25,15.6
新品上市嘗鮮,M5,160,18,11.2
集點兌換活動,M0,210,210,100.0
集點兌換活動,M1,210,152,72.4
集點兌換活動,M2,210,108,51.2
集點兌換活動,M3,210,86,40.8
集點兌換活動,M4,210,70,33.1
集點兌換活動,M5,210,58,27.6
限定季節飲品,M0,175,175,100.0
限定季節飲品,M1,175,111,63.2
限定季節飲品,M2,175,73,41.5
限定季節飲品,M3,175,52,29.7
限定季節飲品,M4,175,37,21.4
限定季節飲品,M5,175,29,16.8
